window,day,S0,sigma,exact,MC,Fourier,QAE,QSVT,qae_queries,qae_err
102,131,5.225338935852051,0.3658245102866787,0.2668073160912582,0.26900378654463514,0.2668073153595302,0.2667723897069682,0.27357578123813875,65536,-3.4926384289979406e-05
103,132,5.300580978393555,0.3535630229968207,0.2616665541188989,0.263809765379691,0.26166655096645075,0.26163728367523237,0.2685951403882997,65536,-2.9270443666518098e-05
104,133,5.253059387207031,0.3505733848621879,0.25715130876972603,0.2592548989230533,0.2571513081425902,0.2571169200976233,0.2640309181011902,65536,-3.438867210270313e-05
105,134,5.352061748504639,0.3270409247918182,0.24461808734136925,0.24659914825866902,0.24461808362687432,0.2446486144750818,0.2517047262298293,65536,3.052713371254345e-05
106,135,5.217418670654297,0.2945002036863082,0.21508782511411487,0.2168046781951843,0.21508783890812258,0.21504780762824688,0.222020297655436,36864,-4.0017485867988034e-05
107,136,5.225338935852051,0.2826123388094004,0.2068769861948368,0.20851072909318977,0.20687700075173301,0.20685800698441378,0.21380548050066814,45056,-1.8979210423014647e-05
108,137,5.225338935852051,0.2828698152988936,0.20706180468122312,0.20869720342009218,0.20706179623698012,0.20701274148808824,0.21399074546574542,36864,-4.906319313488505e-05
109,138,5.260980129241943,0.28407222858000464,0.20934318125292725,0.21099752442294387,0.20934317627193166,0.209301319545484,0.2163214043630491,36864,-4.186170744324702e-05
110,139,5.375822067260742,0.2911854423727481,0.21916804767897455,0.22091481213277425,0.2191680362342691,0.2191236743598302,0.2263081257450786,36864,-4.437331914433629e-05
111,140,5.403542995452881,0.29193126629122834,0.22085223225815737,0.22261302315078219,0.22085224827831765,0.22080044048931566,0.22802986495085117,36864,-5.1791768841708e-05
112,141,5.447103977203369,0.2914157647609875,0.22224662231303022,0.22401811055708712,0.22224663399224903,0.22220833571260043,0.2294816104719953,36864,-3.828660042978771e-05
113,142,5.462944507598877,0.2878689891540004,0.22022972256709974,0.22198226513781763,0.22022974380139482,0.22017867363215943,0.22748158319257902,36864,-5.104893494031759e-05
114,143,5.522345542907715,0.2906734892279756,0.2247530572103295,0.22654391212075564,0.22475307199969924,0.22470527103926663,0.23208719883447557,36864,-4.778617106288019e-05
115,144,5.5164055824279785,0.2823084291428791,0.2181703441756355,0.21989302842562494,0.21817034659443119,0.2181499381681182,0.22548421154409937,45056,-2.0406007517292934e-05
116,145,5.4688849449157715,0.28223732649758854,0.21623751838589175,0.21794488429621342,0.2162375250035139,0.21621030954637413,0.22348824890162486,45056,-2.7208839517622874e-05
